row_key,recipe_name,section,original_line,qty,unit,ingredient,note,review
cd77fa5d-5571-4afc-adaf-88561bc341a9|0|5,Baked Middle Eastern Chicken Tray,main,,,,,,NULL_LINE re-enter
cd77fa5d-5571-4afc-adaf-88561bc341a9|0|6,Baked Middle Eastern Chicken Tray,main,,,,,,NULL_LINE re-enter
cd77fa5d-5571-4afc-adaf-88561bc341a9|0|7,Baked Middle Eastern Chicken Tray,main,,,,,,NULL_LINE re-enter
cd77fa5d-5571-4afc-adaf-88561bc341a9|0|8,Baked Middle Eastern Chicken Tray,main,,,,,,NULL_LINE re-enter
cd77fa5d-5571-4afc-adaf-88561bc341a9|0|9,Baked Middle Eastern Chicken Tray,main,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|0|0,Banh Cuon - Vietnamese Rice Paper Rolls,toppings,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|0|1,Banh Cuon - Vietnamese Rice Paper Rolls,toppings,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|0|2,Banh Cuon - Vietnamese Rice Paper Rolls,toppings,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|1|0,Banh Cuon - Vietnamese Rice Paper Rolls,spicy fish sauce,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|1|1,Banh Cuon - Vietnamese Rice Paper Rolls,spicy fish sauce,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|1|2,Banh Cuon - Vietnamese Rice Paper Rolls,spicy fish sauce,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|1|3,Banh Cuon - Vietnamese Rice Paper Rolls,spicy fish sauce,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|1|4,Banh Cuon - Vietnamese Rice Paper Rolls,spicy fish sauce,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|2|0,Banh Cuon - Vietnamese Rice Paper Rolls,ingredients per 1 serving,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|2|1,Banh Cuon - Vietnamese Rice Paper Rolls,ingredients per 1 serving,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|2|2,Banh Cuon - Vietnamese Rice Paper Rolls,ingredients per 1 serving,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|2|3,Banh Cuon - Vietnamese Rice Paper Rolls,ingredients per 1 serving,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|2|4,Banh Cuon - Vietnamese Rice Paper Rolls,ingredients per 1 serving,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|2|5,Banh Cuon - Vietnamese Rice Paper Rolls,ingredients per 1 serving,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|2|6,Banh Cuon - Vietnamese Rice Paper Rolls,ingredients per 1 serving,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|2|7,Banh Cuon - Vietnamese Rice Paper Rolls,ingredients per 1 serving,,,,,,NULL_LINE re-enter
18632440-2773-439d-87d2-6619289b03b0|2|8,Banh Cuon - Vietnamese Rice Paper Rolls,ingredients per 1 serving,,,,,,NULL_LINE re-enter
9af1cd54-75a4-4568-857d-547940d32d20|0|0,Basic Oat Flour Pancakes,Main,,,,,,NULL_LINE re-enter
9af1cd54-75a4-4568-857d-547940d32d20|0|1,Basic Oat Flour Pancakes,Main,,,,,,NULL_LINE re-enter
